element_name,age,cond_rating,random,material,area_sqm
A1,18,26.1,2,plastic,15.7
A2,20,79.5,3,concrete,80.1
A3,19,45.3,3,concrete,17.2
A4,19,93.7,5,titanium,74.5
A5,17,93.4,1,metal,10.6
A6,5,29.5,2,plastic,19.6
A7,15,73.2,4,cast-iron,77.4
A8,9,59,3,concrete,92.2
A9,14,73.7,2,plastic,42.6
A10,3,98.1,1,metal,38.7
A11,7,93.2,4,cast-iron,49.9
A12,4,21.4,5,titanium,79.9
A13,2,25.9,5,titanium,56.9
A14,1,47.4,3,concrete,22.2
A15,19,36.4,1,metal,58.9
A16,10,42.8,1,metal,52.7
A17,13,46.1,5,titanium,33.2
A18,18,36.5,1,metal,49.4
A19,7,91.6,3,concrete,11.9
A20,3,39.9,3,concrete,54.5
A21,19,76.8,2,plastic,89.9
A22,14,39.1,4,cast-iron,89.4
A23,16,52,2,plastic,64.2
A24,8,94.3,3,concrete,10.6
A25,3,49.3,1,metal,40
A26,8,55.1,4,cast-iron,70.9
A27,9,17.7,3,concrete,11.1
A28,4,58.1,5,titanium,80.5
A29,7,39.3,1,metal,60.2
A30,17,40.5,3,concrete,91.8
A31,5,55.3,4,cast-iron,71.7
A32,5,62.6,1,metal,77.4
A33,5,35.2,3,concrete,40.3
A34,0,86.3,3,concrete,59.4
A35,2,64.2,1,metal,82.2
A36,1,90.4,4,cast-iron,70.4
A37,13,50.4,1,metal,24.6
A38,19,79.1,5,titanium,39.6
A39,14,91.3,3,concrete,68.4
A40,7,86.4,2,plastic,84.3
A41,2,44.4,1,metal,58.5
A42,11,67.9,5,titanium,20.9
A43,10,42.3,3,concrete,66
A44,19,82.2,1,metal,72
A45,8,53.1,5,titanium,83.7
A46,20,57.7,3,concrete,33.9
A47,11,63.2,3,concrete,16.8
A48,5,62.8,4,cast-iron,51.8
A49,7,15.5,3,concrete,31.7
A50,18,80.9,5,titanium,31.6
A51,13,91,5,titanium,85
A52,16,54.2,4,cast-iron,87.6
A53,18,82.5,1,metal,33.1
A54,8,20,3,concrete,89.6
A55,17,58.1,4,cast-iron,14.2
A56,7,34.2,1,metal,23.8
A57,15,16.9,4,cast-iron,42.5
A58,17,43.9,3,concrete,84.2
A59,16,66.5,5,titanium,54.5
A60,13,65.7,3,concrete,74.9
A61,10,72.6,2,plastic,71.3
A62,2,27.7,2,plastic,72.8
A63,19,96.6,5,titanium,39
A64,18,80.1,3,concrete,73.8
A65,13,15.7,5,titanium,32.4
A66,6,30.7,3,concrete,89.2
A67,10,42.8,4,cast-iron,21.7
A68,14,89.6,2,plastic,69.1
A69,18,92.7,2,plastic,64.6
A70,17,86.4,1,metal,13.5
A71,6,94.4,2,plastic,28.4
A72,11,83.5,2,plastic,24.4
A73,12,52.4,4,cast-iron,92.4
A74,9,18.1,2,plastic,87.8
A75,1,64.1,1,metal,72.1
A76,9,31.5,4,cast-iron,27.8
A77,6,17.7,5,titanium,19.9
A78,2,52.1,5,titanium,80.6
A79,20,60.9,3,concrete,75.5
A80,10,47.3,5,titanium,85.1
A81,10,71.9,2,plastic,10.1
A82,6,56.1,3,concrete,41
A83,7,21.4,4,cast-iron,45.4
A84,19,64.9,3,concrete,81.6
A85,18,89,3,concrete,40.6
A86,16,42,4,cast-iron,66.4
A87,19,70.4,4,cast-iron,61.2
A88,17,61.4,2,plastic,85.6
A89,17,61.3,3,concrete,70
A90,14,14.9,2,plastic,57.7
A91,15,80.3,1,metal,17
A92,20,74.8,5,titanium,84.7
A93,1,47.1,2,plastic,87.3
A94,17,53.1,3,concrete,78.5
A95,4,32.9,4,cast-iron,41.4
A96,20,80.7,2,plastic,18.4
A97,17,81.1,2,plastic,78.8
A98,19,87.3,5,titanium,59.6
A99,9,34.2,1,metal,84.2
A100,13,68.6,3,concrete,61.8
A101,10,90.7,4,cast-iron,85.7
A102,17,24.9,5,titanium,81.9
A103,1,35.1,3,concrete,40.5
A104,9,24.7,3,concrete,91.3
A105,3,53.9,1,metal,25.6
A106,3,55.9,3,concrete,19.3
A107,13,40.6,4,cast-iron,12.2
A108,0,46.5,4,cast-iron,46.2
A109,16,71.9,4,cast-iron,46.3
A110,1,28.3,3,concrete,43
A111,12,63.7,1,metal,40.3
A112,11,48.2,1,metal,39.6
A113,0,58.1,3,concrete,51.9
A114,1,69.3,4,cast-iron,14.9
A115,9,25.3,4,cast-iron,33.2
A116,8,58.8,3,concrete,90
A117,19,67.9,3,concrete,48.3
A118,12,28.6,4,cast-iron,58.9
A119,12,31.1,4,cast-iron,59
A120,1,51.1,3,concrete,74.2
A121,10,53.2,5,titanium,19.7
A122,6,79.6,2,plastic,78.3
A123,17,91.3,2,plastic,77.4
A124,15,17.1,3,concrete,16.8
A125,1,93.6,1,metal,63.3
A126,5,11.6,5,titanium,65.6
A127,20,94.7,5,titanium,29.7
A128,19,14.1,3,concrete,64.2
A129,6,30.2,4,cast-iron,33.9
A130,19,53.1,1,metal,11.2
A131,14,23.7,1,metal,66
A132,13,59.8,1,metal,28.8
A133,19,40.4,2,plastic,78.6
A134,12,91.1,3,concrete,16.9
A135,14,20.9,2,plastic,40.7
A136,5,29.9,5,titanium,57.1
A137,4,74.6,5,titanium,74.2
A138,11,73,2,plastic,16.7
A139,1,36.7,5,titanium,40.9
A140,5,50.2,1,metal,21.3
A141,9,19.2,4,cast-iron,58.4
A142,18,71.3,3,concrete,45.4
A143,13,38,5,titanium,16.2
A144,19,58.4,5,titanium,48
A145,7,20,5,titanium,79.8
A146,1,46.7,4,cast-iron,18.3
A147,14,58.9,3,concrete,43.5
A148,0,55.3,5,titanium,85.8
A149,20,21.6,2,plastic,33.2
A150,6,65.5,4,cast-iron,30.4
A151,9,59.6,5,titanium,84
A152,5,48.4,3,concrete,59
A153,1,66.4,4,cast-iron,73.8
A154,8,17.2,1,metal,84.8
A155,9,55.6,1,metal,44.2
A156,12,27.8,1,metal,31.2
A157,1,29,2,plastic,42.3
A158,11,18.4,3,concrete,66.1
A159,19,62.8,5,titanium,58.2
A160,10,36,2,plastic,31.4
A161,15,95.6,2,plastic,89.4
A162,1,69.5,3,concrete,11.9
A163,20,55.1,4,cast-iron,49.1
A164,2,39.5,3,concrete,27.6
A165,18,66,5,titanium,15.7
A166,6,92,3,concrete,73.9
A167,3,88.4,3,concrete,42.4
A168,14,54.8,5,titanium,28.4
A169,13,28.8,4,cast-iron,34.2
A170,5,15.1,5,titanium,81.5
A171,14,94.1,3,concrete,44
A172,20,20,4,cast-iron,75.3
A173,1,86.7,4,cast-iron,90
A174,0,25.1,4,cast-iron,41.3
A175,11,64.7,5,titanium,74.6
A176,5,53.4,1,metal,10.7
A177,9,45,5,titanium,93.1
A178,7,29.4,3,concrete,11.3
A179,17,38.3,2,plastic,93.4
A180,16,37.3,2,plastic,46.4
A181,9,88,3,concrete,31.7
A182,6,15.3,4,cast-iron,46.1
A183,1,71.4,1,metal,79.3
A184,17,68,3,concrete,69.4
A185,1,91.1,4,cast-iron,21.3
A186,13,75,3,concrete,23
A187,9,43.3,1,metal,91.6
A188,10,28,2,plastic,32.2
A189,19,51.2,5,titanium,65.4
A190,18,53.5,4,cast-iron,14
A191,16,56.3,1,metal,41.3
A192,0,47.9,5,titanium,54.3
A193,12,55.3,3,concrete,89
A194,13,67,1,metal,72
A195,3,45.2,5,titanium,18.8
A196,18,49.2,3,concrete,18.7
A197,16,75.9,2,plastic,71.1
A198,4,88,5,titanium,91.6
A199,2,38.6,5,titanium,78.7
A200,19,16.3,5,titanium,72.3
A201,20,40.1,4,cast-iron,63.5
A202,2,79.1,5,titanium,49.2
A203,17,75.4,2,plastic,13.2
A204,12,75.9,4,cast-iron,31
